Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
IUDIT TRANS SRL,R14598886,Radauti,6,2026.07,Operatori mici
CAR LOGISTIC TRANSPORT S.R.L.,R22613081,Sanpetru,6,2026.07,Operatori mici
ARDENIZ LINE SRL,R46987830,Vaslui,6,2026.07,Operatori mici
BIO INDLACT SRL,R30771392,Ramnicu Valcea,6,2026.07,Operatori mici
ADER GLOBAL LOGISTIC SRL,R46207935,Bragadiru,6,2026.07,Operatori mici
IUSER-CARGO SRL,R28574321,Iasi,6,2026.07,Operatori mici
ROMIVA SPEDITION VRM SRL,R40047940,Galati,6,2026.07,Operatori mici
AVANT DRIVE GROUP SRL,R40799765,Iasi,6,2026.07,Operatori mici
TRANSGLOBAL SYSTEM SRL,R40400057,Iasi,6,2026.07,Operatori mici
NAMAL EXPRESS SRL,R32560600,Iasi,6,2026.07,Operatori mici
TRANS ARCTIC EXPRES SRL,R41982379,Iasi,6,2026.07,Operatori mici
PLASTNAK INTERNATIONEL SRL,R44571521,Pitesti,6,2026.07,Operatori mici
VALMAR LOGISTIC CAR SRL,R32854591,Cateasca,6,2026.07,Operatori mici
MGA LOGISTIC TRANS,R42078633,Pitesti,6,2026.07,Operatori mici
ROSEBA TRANS SRL,R15922920,Resita,6,2026.07,Operatori mici
DEIA TRANSPORT SRL,R14446764,Cluj Napoca,6,2026.07,Operatori mici
DMV AVAGIL TRANS SRL,R36821511,Com Lupoaia,6,2026.07,Operatori mici
TGS TRANSGRUPSPEDITION,R36807487,VALEA ADANCA,6,2026.07,Operatori mici
M-TRUCKS UNITED SRL,R46772025,BARNOVA,6,2026.07,Operatori mici
ALMALEELU SRL,R39123521,BRADESTI,6,2026.07,Operatori mici
MOLDEVA EXIM SRL,R44388959,Muntenii de Sus,6,2026.07,Operatori mici
SC FONEX TRANSPORT & LOGISTICS SRL,R54740318,TURTURESTI,6,2026.07,Operatori mici
MAT POWER DELIVERY,R42827284,SERBESTI VECHI,7,2026.07,Operatori mici
APOSTOL TRANSPORT EUROPEAN S.R.L.,R47229087,SAT PODU HAGIULUI,7,2026.07,Operatori mici
HEAVY MACHINERY GROUP SRL,R27198644,SECTOR 4,7,2026.07,Operatori mici
SINGVASTRANS SRL,R41028033,"sat Valea Targului, comuna Puscasi",7,2026.07,Operatori mici
NAVY SEAL SRL,R29490946,POPESTI-LEORDENI,7,2026.07,Operatori mici
SER TRANSPORT,R18895073,Buzau,7,2026.07,Operatori mici
GEIAN MAT TRANS SRL,R37797098,Gaesti,7,2026.07,Operatori mici
DENIZ INTER GLOBAL SRL,R46319882,Alba Iulia,7,2026.07,Operatori mici
YASIN SIMSEK TRANS SRL,R34234880,Alba Iulia,7,2026.07,Operatori mici
EGIDA SPEDITION SRL,R52965110,Pitesti,7,2026.07,Operatori mici
RO-CEM  TRANS 44 SRL,R50360839,Pitesti,7,2026.07,Operatori mici
ALMA COMPEXIM SRL,R146937,Pitesti,7,2026.07,Operatori mici
COPANEX SRL,R5994229,Bacau,7,2026.07,Operatori mici
DORU & STELICA TRANS SRL,R28349613,Otesani,7,2026.07,Operatori mici
VIV TRUCK TRANS SRL,R43408934,Vaslui,7,2026.07,Operatori mici
REGIUNEA-EXIM S.R.L.,R36239557,Vaslui,7,2026.07,Operatori mici
TRANSPORT INTERNATIONAL RAILEANU SRL,R23826363,Focsani,7,2026.07,Operatori mici
OLGUN SPEDITION SRL,R39416670,Medgidia,7,2026.07,Operatori mici
CCC PRIME SOLUTION SRL,R39743248,Pecica,7,2026.07,Operatori mici
MET UNIPERSONAL SRL,R40830399,Gorban,7,2026.07,Operatori mici
COSMOS NIGA,R731221,Campulung Moldovenesc,7,2026.07,Operatori mici
NICOTRANS SRL,R378961,Bucuresti,8,2026.07,Operatori mici
TOTAL TRANS SPED DOI SRL,R6767224,Bucuresti,8,2026.07,Operatori mici
EFE TRANSPORT SRL,R37081527,Sibiu,8,2026.07,Operatori mici
KRALOWETZ TRANSPORT,R10705467,Timisoara,8,2026.07,Operatori mici
NITU TRANS SRL,R10928396,Babeni,8,2026.07,Operatori mici
RAUL AGROCOM SRL,R18301057,Voiniceni,8,2026.07,Operatori mici
BASARABIA LOGISTIC S.R.L.,R45921501,Zarnesti,8,2026.07,Operatori mici
LINIILE CONTINENTALE DE TRANSPORT - LCT S.R.L.,R11015244,Sacele,8,2026.07,Operatori mici
CINDRELUL SRL,R4560795,Sebes,8,2026.07,Operatori mici
DAVID &  EVA  LOGISTIC SRL,R36450693,Daesti,8,2026.07,Operatori mici
ANDY INTER SPRINT SRL,R32322535,Pitesti,8,2026.07,Operatori mici
BLUE TRUCK SPEDITION,R26798403,Constanta,8,2026.07,Operatori mici
EDIL TRANSPORT SRL,R13346651,Buzau,8,2026.07,Operatori mici
WEST LOGISTICS SRL,R35710124,Curtesti,8,2026.07,Operatori mici
FLORAGE CORPORATION SRL,R5966008,Brasov,8,2026.07,Operatori mici
BASCOM EST SRL,R31248945,Iasi,8,2026.07,Operatori mici
DOBROTA TRANS SRL,R26532222,Poiana Sibiului,8,2026.07,Operatori mici
NICK EXPRESS SIBIU,R29197700,Poiana Sibiului,8,2026.07,Operatori mici
RUNOLA LOGISTICS SRL,R25250053,Medias,8,2026.07,Operatori mici
VLADIANA EXPEDITII SRL,R40447726,Pilu,8,2026.07,Operatori mici
THERMO VIV TRANS S.R.L.,R32513632,Scoposeni,8,2026.07,Operatori mici
LOGISTICS MANAGEMENT SOLUTIONS SRL,R34110750,"Bucuresti,sector 1",9,2026.07,Operatori mici
MARCINI LOGISTICS SRL,R34633104,SAT RONA DE SUS,9,2026.07,Operatori mici
DATCU EUROPE LOGISTICS SRL,R35371052,Ploiesti,9,2026.07,Operatori mici
FRIGO PRIM GRUP SRL,R40660219,Iasi,9,2026.07,Operatori mici
LKW SCORPION SRL,R41994594,Iasi,9,2026.07,Operatori mici
EURO DOST TRANS SRL,R32043123,Codlea,9,2026.07,Operatori mici
SCD TEAM SPEDITION SRL,R33517365,Arad,9,2026.07,Operatori mici
TOP TRUCKS TRANS SRL,R33201558,Muntenii de Sus,9,2026.07,Operatori mici
DINAMICA TRANSMAT SRL,R23025233,Veresti,9,2026.07,Operatori mici
VEL CARGO SRL,R29360490,Oradea,9,2026.07,Operatori mici
EURO TRUCK LOGISTIC SRL,R29245173,Sibiu,9,2026.07,Operatori mici
BASARABIA TRANS SRL,R19124530,Bucuresti,9,2026.07,Operatori mici
NICODIN SRL,R3238210,Medias,16,2026.07,Operatori medii 1
SERCOM AGREGATE,R35891373,Oiejdea,20,2026.07,Operatori medii 1
L&A CARGO LINE SRL,R16743400,Pitesti,20,2026.07,Operatori medii 1
DAF TRANS 2000 S.R.L.,R12899831,Constanta,15,2026.07,Operatori medii 1
ALCEDO SRL,R350278,Bucuresti,14,2026.07,Operatori medii 1
EUROMAX COMPANY SRL,R7979233,Miroslava,17,2026.07,Operatori medii 1
SOTRANS IMPEX SRL,R6388310,Pitesti,28,2026.07,Operatori medii 1
WISE SRL,R6670352,Ramnicu Valcea,32,2026.07,Operatori medii 1
TRANSTRADE SRL,R14565536,Lupeni,30,2026.07,Operatori medii 1
MARYTRANS SRL,R9567212,Bacau,20,2026.07,Operatori medii 1
AGROPEC SPEDITION SRL,R39870659,Blaj,38,2026.07,Operatori medii 1
DEME MACARALE SRL,R6073087,Oradea,22,2026.07,Operatori medii 1
A.F.C.R LOGISTIC SRL,R33851461,Ramnicu Valcea,31,2026.07,Operatori medii 1
ADANCO TRANSCOM SRL,R6872254,Milisauti,20,2026.07,Operatori medii 1
BENY TRANS INTRENATIONAL S.R.L.,R10803520,Satu Mare,16,2026.07,Operatori medii 1
SIMADI SRL,R3698588,Murfatlar,28,2026.07,Operatori medii 1
CREMA VIC PALAMUT SRL,R19487986,Pitesti,19,2026.07,Operatori medii 1
BACUS SRL,R3368326,Arad,22,2026.07,Operatori medii 1
CONDOR PADURARU S.R.L.,R6341635,Slatina,20,2026.07,Operatori medii 1
DEY LOGISTIC SRL,R25487522,Sibiu,35,2026.07,Operatori medii 1
ACTROSTRANS SRL,R18605900,Vaslui,25,2026.07,Operatori medii 1
RENAROM TRANS SRL,R8721126,Baia Mare,34,2026.07,Operatori medii 1
ADR BEST TRANS SRL,R34157795,Pitesti,13,2026.07,Operatori medii 1
HAUPT TRANS SRL,R37327860,Buciumeni,16,2026.07,Operatori medii 1
ALE-YAN LOGISTIC SRL,R24446176,Oradea,25,2026.07,Operatori medii 1
AS-TRANS SRL,R1481930,Ramnicu Valcea,23,2026.07,Operatori medii 1
SOLDORI TRANS,R14278466,Iaslovat,30,2026.07,Operatori medii 1
ARDEALUL SA,R646347,Carei,26,2026.07,Operatori medii 1
PANDORA PROD SRL,R2856922,Slobozia,31,2026.07,Operatori medii 1
VALIURATRANS,R30443409,Vaslui,17,2026.07,Operatori medii 1
OIL DEPOL SERVICE SRL,R10969841,Constanta,36,2026.07,Operatori medii 1
CRIN PROD SRL,R6530235,Vacaresti,13,2026.07,Operatori medii 1
PETCO,R12334667,Sovata,13,2026.07,Operatori medii 1
STRETE SEN,R28829492,Ipotesti,15,2026.07,Operatori medii 1
AGROTRANSPORT VINJU MARE SRL,R1601440,Vinju Mare,16,2026.07,Operatori medii 1
EXPRES MERCUR SPEDITION SRL,R14681115,Oradea,23,2026.07,Operatori medii 1
PROIECT PERSONAL LEASING SRL,R11920030,Baia Sprie,16,2026.07,Operatori medii 1
HYDRAS,R15760713,Arad,17,2026.07,Operatori medii 1
BOGPADIS TRANS SRL,R17710240,Alesd,17,2026.07,Operatori medii 1
ANASPED S.R.L.,R23979235,Suceava,28,2026.07,Operatori medii 1
MTM TRANSPORT SRL,R21541246,Prundeni,13,2026.07,Operatori medii 1
JOKER LOGISTIC TRUCK SRL,R29252790,Chiajna,16,2026.07,Operatori medii 1
EVE TRANSPORTING INTERNATIONAL SRL,R36679655,SAT SCOPOSENI,13,2026.07,Operatori medii 1
IACOB TANK TRANSPORT SRL,R41148994,Ploiesti,14,2026.07,Operatori medii 1
ZAFER TRANSPORT SRL,R27726340,Bucuresti,15,2026.07,Operatori medii 1
COMPLET DAROX S.R.L.,R8685031,Pitesti,15,2026.07,Operatori medii 1
TRANSVIS SRL,R10664928,Bradeanu,15,2026.07,Operatori medii 1
UNGUREANU TRANS SRL,R21522554,Vaslui,15,2026.07,Operatori medii 1
BIANGOR TRANS SRL,R32864013,Gorban,15,2026.07,Operatori medii 1
SCANDINAVIA SPEDITION EXPRESS SRL,R23963174,Simian,15,2026.07,Operatori medii 1
FIT SPED SRL,R6933483,Sfantu Gheorghe,16,2026.07,Operatori medii 1
NIK SPEED LINES SRL,R36788130,Voluntari,17,2026.07,Operatori medii 1
DIGOR TRUCKS TRANS SRL,R37869100,Dranceni,17,2026.07,Operatori medii 1
COMERT SLAGER SRL,R2970276,Targu Secuiesc,18,2026.07,Operatori medii 1
DEF TRANS LOGISTIC SRL,R21946010,Tunari,19,2026.07,Operatori medii 1
GOKBORA INTERNATIONAL TRANSPORT SRL,R18962709,Bolintin Deal,20,2026.07,Operatori medii 1
TRAMAR SA,R5131341,Sfantu Gheorghe,20,2026.07,Operatori medii 1
LUCY EUROCARGO BUS SRL,R26366324,Micesti,20,2026.07,Operatori medii 1
MIHAI TRANS 2003 SRL,R15151044,Bucuresti,26,2026.07,Operatori medii 1
AUTOTRANSPORT NEC IMPEX SRL,R26462828,Miroslava,26,2026.07,Operatori medii 1
DONI INTERNATIONAL GALAXY SRL,R9858840,Pitesti,28,2026.07,Operatori medii 1
ROMSTAL IMEX SRL,R5990324,Bucuresti,29,2026.07,Operatori medii 1
KING SPEDITION SRL,R25982253,Uriu,29,2026.07,Operatori medii 1
HOPE SPED SRL,R15428073,Sfantu Gheorghe,30,2026.07,Operatori medii 1
TIMSCOR TRANS SRL,R35798623,VALEA ADANCA,32,2026.07,Operatori medii 1
BURLACU TRANS COM,R15856169,Ulmi,36,2026.07,Operatori medii 1
SUCCES NIC COM,R5762598,Runcu,14,2026.07,Operatori medii 1
AUTOTRANS TAXI MARFA S.A.,R1352528,Ploiesti,13,2026.07,Operatori medii 1
EBASTO COM SRL,R6587673,Zarnesti,18,2026.07,Operatori medii 1
ACVATOT SRL,R13906,Bucuresti,19,2026.07,Operatori medii 1
TRANSPORT GINAR SRL,R7396353,Moraresti,26,2026.07,Operatori medii 1
CIPCOS MAR COMPLEX SRL,R6215297,Poiana Lacului,16,2026.07,Operatori medii 1
FAVORIT BIO TRANS S.R.L.,R3110032,Pitesti,22,2026.07,Operatori medii 1
PERSPECTIVE CAFE SRL,R16145873,Bucuresti,16,2026.07,Operatori medii 1
ALIFLOR EXIM SRL,R7339943,Craiova,24,2026.07,Operatori medii 1
AGUAKI TRANS SRL,R15961466,Boldesti Scaeni,36,2026.07,Operatori medii 1
ERSOF TRANS SRL,R37327142,Prundu,34,2026.07,Operatori medii 1
R.X.D. COMPANY SRL,R14719210,Miroslava,35,2026.07,Operatori medii 1
BUL INTERTRANS SRL,R37002450,Iasi,20,2026.07,Operatori medii 1
"PRODUCTIE SI COMERCIALA ""TRIO-IMPEX """,R6107414,Bodoc,32,2026.07,Operatori medii 1
RAZVAL TIG CONSTRUCT,R36838971,Visina,20,2026.07,Operatori medii 1
AKSIMET CARGO SRL,R40398747,Bragadiru,17,2026.07,Operatori medii 1
BURCIU TRANS,R15711869,Radauti,28,2026.07,Operatori medii 1
GREEN FORWARDING SRL,R36821724,Ip,29,2026.07,Operatori medii 1
MAHMUD IMPEX SRL,R6398275,Constanta,22,2026.07,Operatori medii 1
GALILEX FOREST SRL,R27592168,MAGHERU,35,2026.07,Operatori medii 1
JUVITA TRANS SRL,R6404717,Baia Mare,20,2026.07,Operatori medii 1
EMI & JESSI SRL,R14429658,Sebes,34,2026.07,Operatori medii 1
NUTRIENTUL SA,R108046,Palota,22,2026.07,Operatori medii 1
KENWROTH TRANSPORT SRL,R6659192,Baia Mare,24,2026.07,Operatori medii 1
LUX CONSULTING SRL,R39168655,Daesti,16,2026.07,Operatori medii 1
SC NATUR FOREST SRL,R17879045,PLATONESTI,36,2026.07,Operatori medii 1
MARBIS SRL,R4904627,Sebes,20,2026.07,Operatori medii 1
AGROAUTOMEC S.R.L,R3657839,Comlausa,14,2026.07,Operatori medii 1
ANGELTRANS,R18289549,Scheia,23,2026.07,Operatori medii 1
CUPOLA COMSERV SRL,R7836284,Suceava,19,2026.07,Operatori medii 1
EUROIVASTRANS SRL,R22304493,Galati,26,2026.07,Operatori medii 1
NAVONA TRANS SRL,R15296509,Sirna,15,2026.07,Operatori medii 1
M&N TRANS COMPEX SRL,R8388049,Bucuresti,15,2026.07,Operatori medii 1
AND VIORICA COMPANY SRL,R26607350,Calinesti,17,2026.07,Operatori medii 1
TRI TRUCK INCOMPARATION SRL,R26743939,Snagov,17,2026.07,Operatori medii 1
PLAYER MEDIA SRL,R20752458,Bucuresti,19,2026.07,Operatori medii 1
NIC-TRUCKS TRANS SRL,R25976448,Dranceni,20,2026.07,Operatori medii 1
ETAP TRANSPORT SRL,R13280751,Bucuresti,24,2026.07,Operatori medii 1
CARPATICA LOGISTIC SRL,R29428359,Selimbar,24,2026.07,Operatori medii 1
KAREMA FRUCT SRL,R29362947,Dascalu,30,2026.07,Operatori medii 1
STELBO TRANS SRL,R11118606,Targu Jiu,29,2026.07,Operatori medii 1
COMBINATUL DE CELULOZA SI HARTIE SA,R5976842,DROBETA TURNU-SEVERIN,27,2026.07,Operatori medii 1
ROMPETROL WELL SERVICES S.A.,R1346607,Ploiesti,26,2026.07,Operatori medii 1
LPG AUTO TRANS,R34846757,Bucuresti,35,2026.07,Operatori medii 1
HIDROCONSTRUCTIA SA,R1556820,Bucuresti,30,2026.07,Operatori medii 1
ANGHELOIU TRANS SRL,R23667985,Gura Vitioarei,25,2026.07,Operatori medii 1
SAM-ANDREI,R14245230,Calafindesti,13,2026.07,Operatori medii 1
RONTRANSMAR SRL,R18992017,Uriu,37,2026.07,Operatori medii 1
J.I.P. TRANSPORT INTERNATIONAL,R31220928,Iasi,16,2026.07,Operatori medii 1
AMEROPA LOGISTICS SRL,R32274128,SAT CIORANII DE JOS COM. CIORANI,18,2026.07,Operatori medii 1
TRUCK MOTORS SRL,R17609068,Arad,27,2026.07,Operatori medii 1
LEVIS O.D.S. SRL,R15730992,Salcea,16,2026.07,Operatori medii 1
PISCAN S.R.L.,R14663518,Valenii de Munte,22,2026.07,Operatori medii 1
DRUMURI BIHOR SA,R10980670,Oradea,28,2026.07,Operatori medii 1
METALUX,R167441,Pitesti,19,2026.07,Operatori medii 1
MW TRADE SRL,R16035200,Carei,19,2026.07,Operatori medii 1
UTIL NRG CARGO SRL,R13135212,Ploiesti,37,2026.07,Operatori medii 1
TOLIL COMPANY S.R.L.,R11250843,Constanta,20,2026.07,Operatori medii 1
CRISTALEX TRANS COMPANY SRL,R6429410,Arad,31,2026.07,Operatori medii 1
CARS EXPRES LOGISTIC SRL,R39318965,Popesti,14,2026.07,Operatori medii 1
EUROHAUL SERVICES S.R.L,R19182345,Barbuletu,27,2026.07,Operatori medii 1
MINDEN-S SRL,R9215747,Odorheiu Secuiesc,18,2026.07,Operatori medii 1
GRK IULISPEED SRL,R33552680,"MUN. MOTRU,",17,2026.07,Operatori medii 1
INTECO HOLDING SRL,R14989507,Bocsig,30,2026.07,Operatori medii 1
ECOSOFTBN SRL,R24407657,Bistrita,14,2026.07,Operatori medii 1
DRAGLEN PRODUCT SRL,R33355352,SAT URECHESTI,18,2026.07,Operatori medii 1
MERYILDIZ LOJISTIK S.R.L.,R36297329,"BUCURESTI, SECTOR 6",15,2026.07,Operatori medii 1
TRANS TRUCK SERVICES SRL,R33876245,SAT PODU HAGIULUI,15,2026.07,Operatori medii 1
SARI EXPRES CARGO SRL,R32899607,Bascov,16,2026.07,Operatori medii 1
CIVDORA COMPANY EXIM S.R.L.,R5734822,Tufesti,17,2026.07,Operatori medii 1
FLOVIS IMPEX SRL,R6772263,Simbata de Sus,19,2026.07,Operatori medii 1
RUBIAN COMPANY SRL,R8518173,Constanta,25,2026.07,Operatori medii 1
TRANS LOGISTIC N.A.D S.R.L,R16498972,Bucuresti,32,2026.07,Operatori medii 1
ALVELY LOGISTIK S.R.L,R28117338,Vernesti,32,2026.07,Operatori medii 1
DANIMAR LOGISTICA & EXPEDITII SRL,R28481095,"BUCURESTI , SECTOR 5",38,2026.07,Operatori medii 1
APOLODOR COM IMPEX SRL,R448722,Bucuresti,38,2026.07,Operatori medii 1
SORELO S.R.L.,R136305,Bascov,32,2026.07,Operatori medii 1
TOLPOST,R10103860,Liteni,25,2026.07,Operatori medii 1
FEL- GEO TRANS SRL -D,R33858206,Chiajna,17,2026.07,Operatori medii 1
LUCIANO&NICO SRL,R6735354,Vascau,22,2026.07,Operatori medii 1
HM PRODUCT SRL,R21953760,Targu Mures,18,2026.07,Operatori medii 1
CAT AUTOLOGISTCS ROMANIA SRL,R24455425,Ciorogarla,31,2026.07,Operatori medii 1
AUTO ALEX SRL,R1074871,Moldova Noua,28,2026.07,Operatori medii 1
POPESCU SI BACESCU TRANS SRL,R32228148,MANGA,18,2026.07,Operatori medii 1
TEMPO TIR TRANS SRL,R30756961,Vaslui,14,2026.07,Operatori medii 1
3 GID COMPROD SRL,R4171143,Pitesti,14,2026.07,Operatori medii 1
SERGIU OCTAV TRANS S.R.L.,R19022034,COMUNA BASCOV,16,2026.07,Operatori medii 1
EMILEMA PRODCOM,R5112056,Volovat,13,2026.07,Operatori medii 1
CANATA GLOBAL LOJISTIK SRL,R47705920,Bragadiru,13,2026.07,Operatori medii 1
ADEPLAST SA,R5119976,Oradea,25,2026.07,Operatori medii 1
EMY SPECIAL TRANSPORTS SRL,R47266166,Targu Mures,27,2026.07,Operatori medii 1
BODY INVEST SRL,R22982763,Harsova,25,2026.07,Operatori medii 1
GEODAN TRANS SRL,R13505307,Ploiesti,16,2026.07,Operatori medii 1
BUVACONI TRANS SRL,R27067460,Bucuresti,21,2026.07,Operatori medii 1
ARES INTERNATIONAL TRANSPORT SRL,R30063663,Bucuresti,30,2026.07,Operatori medii 1
NARFLO TRANS COMPANY SRL,R21518456,Bascov,31,2026.07,Operatori medii 1
SC LOGICAL CONS SOLUTIONS SRL,R29398517,Bacia,35,2026.07,Operatori medii 1
B.A.T. EUROPEAN LOGISTICS,R33592340,Pitesti,13,2026.07,Operatori medii 1
GINARIUS IMPEX SRL,R8646490,Turda,22,2026.07,Operatori medii 1
EGERIA TM SRL,R7182074,Timisoara,36,2026.07,Operatori medii 1
NEGRO 2000,R4600075,Bucuresti,16,2026.07,Operatori medii 1
SPERANZA LOGISTICS SRL,R30891577,Bucuresti,23,2026.07,Operatori medii 1
SIV GROUP TRANS SRL,R23457517,Gorban,25,2026.07,Operatori medii 1
SC ARBOTRANS AGREGATE SRL,R38586285,Arad,37,2026.07,Operatori medii 1
ROSU COMPANY SRL,R3963099,Gherta Mica,23,2026.07,Operatori medii 1
UNIVERSAL TERMOCONSTRUCT DESIGN SRL,R27591839,COMUNA BASCOV,34,2026.07,Operatori medii 1
BURAK LOJISTIK SRL,R46303207,Cornetu,23,2026.07,Operatori medii 1
PREZIDENT TRANS SRL,R14336494,Campulung,29,2026.07,Operatori medii 1
GUZTRANS SRL,R16463320,Curtici,33,2026.07,Operatori medii 1
COMTRATUR SRL,R3390021,Cincu,19,2026.07,Operatori medii 1
ARI100CRAT S.R.L,R29082602,Iasi,15,2026.07,Operatori medii 1
O&V TRANSCONSULTING PROJECTS SRL,R31436388,"Bucuresti,sector 1",13,2026.07,Operatori medii 1
MARPAS,R760464,Milisauti,24,2026.07,Operatori medii 1
VLADIMIR TRANS SRL,R5739250,Brasov,26,2026.07,Operatori medii 1
GYORGY TRANS SRL,R18690825,Drobeta Turnu Severin,20,2026.07,Operatori medii 1
MICHAEL OIL&GAS SERVICES SRL,R30475834,Lipanesti,26,2026.07,Operatori medii 1
IUGA UNIC TRANS SRL,R28652039,tirgoviste,27,2026.07,Operatori medii 1
BURAK GLOBAL LOJISTIK,R47126910,"BUCURESTI, SECTOR 6",14,2026.07,Operatori medii 1
BOGDY TRANS SRL,R15628896,RUGINOASA,27,2026.07,Operatori medii 1
ALPHA CONSTRUCT SISTEM,R14854372,Bucuresti,21,2026.07,Operatori medii 1
PETYON RADMIH SRL,R18793049,COMUNA BASCOV,22,2026.07,Operatori medii 1
MARIMAR STANCU SNC,R10518957,Drobeta Turnu Severin,22,2026.07,Operatori medii 1
CAROMION SRL,R14287057,Stejari,22,2026.07,Operatori medii 1
MEGA VOLUM EXPRESS SRL,R31155625,Onesti,20,2026.07,Operatori medii 1
DANFRAN SRL,R18043942,Valea Lunga,13,2026.07,Operatori medii 1
BANAT SPEED SRL,R30877599,Timisoara,13,2026.07,Operatori medii 1
PET-CIP TRANS SRL,R23067492,Barsana,15,2026.07,Operatori medii 1
FM INTERNATIONAL TRASPORTI SRL,R17981222,Alba Iulia,17,2026.07,Operatori medii 1
TUK TRANS NICAL SRL,R39334138,Negrasi,17,2026.07,Operatori medii 1
CHEVROLET C.C. SRL,R6494779,Pitesti,19,2026.07,Operatori medii 1
PETRA LOGISTIK GP SRL,R22220392,Pitesti,19,2026.07,Operatori medii 1
SAMOGIN TRANS SRL,R20201106,Bors,20,2026.07,Operatori medii 1
VALDEN GROUP INTERNATIONAL SRL,R38290297,Pitesti,21,2026.07,Operatori medii 1
BIANALEX-PRIM SRL,R33289070,Iasi,22,2026.07,Operatori medii 1
GRINGO COM IMPEX SRL,R9103840,Bacau,28,2026.07,Operatori medii 1
EURO TEAM GB  SPEDITION SRL,R34262723,Sebes,30,2026.07,Operatori medii 1
MIHOT SRL,R12894567,Valea Lupului,35,2026.07,Operatori medii 1
ALBERT COMIMPEX SRL,R6388018,Pitesti,38,2026.07,Operatori medii 1
ATHOS COM SRL,R4565652,Surduc,21,2026.07,Operatori medii 1
INOVATIV LOGISTIC,R29590244,Oradea,28,2026.07,Operatori medii 1
COMSAR EXPRES,R28959735,Bistrita,29,2026.07,Operatori medii 1
LOMARLINE NEWAGE,R27345346,Pitesti,30,2026.07,Operatori medii 1
LIVERANI GROUP RO SRL,R22906316,Caransebes,36,2026.07,Operatori medii 1
ILM COM SRL,R3132324,Miercurea Ciuc,13,2026.07,Operatori medii 1
AFEROM TRANS SRL,R10138737,Miercurea Ciuc,14,2026.07,Operatori medii 1
EURO-SPED SRL,R4641113,Gurani,14,2026.07,Operatori medii 1
ADI&TANIA TRANS SRL,R19924355,Bucsani,15,2026.07,Operatori medii 1
SAV SOR TRANSCOM SRL,R97281,Galospetreu,16,2026.07,Operatori medii 1
PITAR,R4868079,Suceava,19,2026.07,Operatori medii 1
ONVIRA PREST SRL,R26057400,Adjud,13,2026.07,Operatori medii 1
LUNA B&R,R15676630,Piatra Neamt,38,2026.07,Operatori medii 1
ISTRATE SERVPROD SRL,R5076310,Saulia,14,2026.07,Operatori medii 1
ALVALEXINO CO S.R.L.,R11113730,Constanta,15,2026.07,Operatori medii 1
ANIWIL IMPEX SRL,R6124822,Perisor,16,2026.07,Operatori medii 1
ALUCIM LOGISTIC,R34785528,Oradea,18,2026.07,Operatori medii 1
BENUTI COMPANY SRL,R25656087,Targu Mures,19,2026.07,Operatori medii 1
CAPITOLA,R2388767,Satu Mare,20,2026.07,Operatori medii 1
HOKMAN TRANS,R10630631,Hidiselu de Sus,20,2026.07,Operatori medii 1
DEAS SPEDITION 2020 SRL,R41991784,Arad,20,2026.07,Operatori medii 1
AGREMIN SRL.,R15206492,Liteni,24,2026.07,Operatori medii 1
ARGO INTERNATIONAL,R18732190,Arad,26,2026.07,Operatori medii 1
MAES TRANSPORT ROMANIA SRL,R6996996,Santion,30,2026.07,Operatori medii 1
ANASTASIA SPEDITION SRL,R32433967,Timisoara,14,2026.07,Operatori medii 1
BONISA BIS SRL,R8851720,Pitesti,33,2026.07,Operatori medii 1
SANGES TRANS SRL,R17423455,Periam,15,2026.07,Operatori medii 1
TRANSDETA,R13599735,Timisoara,16,2026.07,Operatori medii 1
CASA NOASTRA SRL,R7510066,Craiova,16,2026.07,Operatori medii 1
BAGOLY LOGISTIC SRL,R10251972,Miercurea Ciuc,18,2026.07,Operatori medii 1
BRENA INTER TRANS,R18779214,Zalau,19,2026.07,Operatori medii 1
SIM ESTATE INVEST SRL,R22923708,Campulung,20,2026.07,Operatori medii 1
EXPRES TRANSPORT,R3365133,Pecica,21,2026.07,Operatori medii 1
DELI TRANS,R15789558,Suceava,14,2026.07,Operatori medii 1
VERDUYN LOGISTICS SRL,R21496994,Constanta,23,2026.07,Operatori medii 1
ALLFRESH,R30857729,Suceava,28,2026.07,Operatori medii 1
VALTRANS IMPEX SRL,R9455634,Cluj Napoca,37,2026.07,Operatori medii 1
MILANO LOGISTIC,R4715741,Oradea,18,2026.07,Operatori medii 1
VITRANS SRL,R992405,Bacau,22,2026.07,Operatori medii 1
TRUCK SPED SRL,R3811082,Farcasa,15,2026.07,Operatori medii 1
M-SYSTEM SRL,R716990,Radauti,26,2026.07,Operatori medii 1
HELIOS CAR SRL,R26897288,Scheia,29,2026.07,Operatori medii 1
SZINKER SRL,R6682942,Cristuru Secuiesc,21,2026.07,Operatori medii 1
TEK LINE EXPEDITION SRL,R29066275,Cumpana,22,2026.07,Operatori medii 1
MARVIO TRANS SRL,R6223729,Ineu,23,2026.07,Operatori medii 1
MIHAI- LUCA TRANS SRL,R18758262,Iaslovat,15,2026.07,Operatori medii 1
AUTOGIGICA,R3793490,Timisoara,15,2026.07,Operatori medii 1
KOWA INNES TRANS,R28909451,Bistrita,27,2026.07,Operatori medii 1
ROZOTI PRODCOM,R4348076,Biharia,35,2026.07,Operatori medii 1
