Denumire Operator,Cod Fiscal,Localitate,Nr.Vehicule,Export data,Clase Transportator
RIADE TRANS DEAC SRL,R6792830,Baia Mare,9,2026.07,Operatori mici
AKO CECIC,R17435697,Vladimirescu,11,2026.07,Operatori medii 1
BRUGIONI ROMTIR SRL,R5981148,Bors,12,2026.07,Operatori medii 1
ELVADA COMPANY,R19118440,Constanta,3,2026.07,Operatori mici
DIGI GROUP S.R.L.,R17740470,Drobeta Turnu Severin,3,2026.07,Operatori mici
IULIAN SPEDITION SRL,R29999746,Iasi,3,2026.07,Operatori mici
CSILLAG,R4972117,Lunca de Jos,3,2026.07,Operatori mici
DANINA BIO AGRAR SRL,R33541088,Turt,3,2026.07,Operatori mici
TRANSINET SRL,R24488325,Pielesti,3,2026.07,Operatori mici
VASYCOST SRL,R10470743,Vaslui,3,2026.07,Operatori mici
TRANS CINDRELUL SRL,R14632058,Sebes,3,2026.07,Operatori mici
VIOGEO TRANS SRL,R33257591,Corni Albesti,3,2026.07,Operatori mici
TACHITRAK TRANS SRL,R26938582,Zalau,3,2026.07,Operatori mici
CATA FLORIN SRL,R31761176,Carei,3,2026.07,Operatori mici
STEDATRANS SRL,R4604069,Darmanesti,3,2026.07,Operatori mici
BLUE TRANSPORT CONCEPT SRL,R38161829,Oradea,3,2026.07,Operatori mici
GICPOP TRANS SRL,R24511428,Suceava,3,2026.07,Operatori mici
BALBO TRANS SRL,R18111133,Lugoj,3,2026.07,Operatori mici
CEMIROVENT,R7425998,Timisoara,3,2026.07,Operatori mici
RAZVAN TRANS MRM SRL,R24694767,TARGUSOR,3,2026.07,Operatori mici
DELICONPRODIMPEX,R9288196,Falticeni,4,2026.07,Operatori mici
DORUFLOR SRL,R23246730,Otesani,4,2026.07,Operatori mici
DRAG SPEDITION SRL,R21871155,Eforie Sud,4,2026.07,Operatori mici
AGRIPROD PLATINUM SRL,R28663704,Suseni,4,2026.07,Operatori mici
DOREL TRANS SRL,R7779650,Mihailesti,4,2026.07,Operatori mici
FOODWISH DELIVERY SRL,R34094743,Afumati,4,2026.07,Operatori mici
DANICO TRANSPORTER SRL,R40830151,Ploiesti,4,2026.07,Operatori mici
AMR BEST CONSULTING S.R.L.,R23385470,Gradistea,4,2026.07,Operatori mici
VMR TRANSMAR SPEDITION SRL,R43658000,Constanta,5,2026.07,Operatori mici
PROTRANS BUSSINES,R32626011,Iasi,5,2026.07,Operatori mici
LAMBERPROD SRL,R24998340,Radauti,5,2026.07,Operatori mici
CRASMICOS GAS SRL,R33700752,Crasna,6,2026.07,Operatori mici
CICOM SRL,R3235656,Targoviste,6,2026.07,Operatori mici
KAMITRANS,R16808437,Milisauti,7,2026.07,Operatori mici
TOTAL SPA SRL,R15908101,Satu Mare,7,2026.07,Operatori mici
WORLD BANKERS SRL,R38786003,VLADENI,7,2026.07,Operatori mici
DARY COMAGRO SRL,R22282832,Manesti,8,2026.07,Operatori mici
ADCOM INTERNATIONAL SR,R6865850,Pitesti,8,2026.07,Operatori mici
LOGAVRAM SRL,R19119607,Izbuc,12,2026.07,Operatori medii 1
EURONIL TRANSPORT,R35413344,Galati,4,2026.07,Operatori mici
LITROX SRL,R6832560,Sintimbru,4,2026.07,Operatori mici
UNGUREANU LEMNCOM SRL,R3406276,Dorna Arini,4,2026.07,Operatori mici
DEACONESCU OVIDIU TRANSPORT SOCIETATE CU RASPUNDERE LIMITATA,R29869312,Copaceni,5,2026.07,Operatori mici
PROFESIONAL VLS SRL,R32548240,Targu Lapus,6,2026.07,Operatori mici
DUAL DISTRICON SRL,R16174739,Sibiu,6,2026.07,Operatori mici
YULIDEY SPEDITION SRL,R36923945,Suceava,6,2026.07,Operatori mici
DIGETI TRANSCOM SRL,R16902484,Oravita,6,2026.07,Operatori mici
ENDRESS GROUP ROMANIA SRL,R14762538,Resita,7,2026.07,Operatori mici
BKT FOREST SRL,R13626732,Cavnic,7,2026.07,Operatori mici
LARRYKOL SPEDITION SRL,R31270381,Boldesti Scaeni,9,2026.07,Operatori mici
ALGEDO TRANS SRL,R16858427,PICIOR DE MUNTE,10,2026.07,Operatori medii 1
ORAMAR COM SRL,R4538437,Oradea,11,2026.07,Operatori medii 1
SC.ALCAROM.SRL,R16654869,Frasin,5,2026.07,Operatori mici
